DATE,FII_Net_Purchase_Sales,DII_Net_Purchase_Sales,Total_Net
24-Dec-25,"-1,721.30","2,381.30",660.0000000000002
23-Dec-25,"-1,794.80","3,812.40",2017.6000000000001
22-Dec-25,-457.3,"4,058.20",3600.8999999999996
19-Dec-25,"1,830.90","5,722.90",7553.799999999999
18-Dec-25,595.8,"2,700.40",3296.2
17-Dec-25,"1,171.70",768.9,1940.6
16-Dec-25,"-2,381.90","1,077.50",-1304.4
15-Dec-25,"-1,468.30","1,792.20",323.9000000000001
12-Dec-25,"-1,114.20","3,868.90",2754.7
11-Dec-25,"-2,020.90","3,796.10",1775.1999999999998
10-Dec-25,"-1,651.10","3,752.30",2101.2000000000003
09-Dec-25,"-3,760.10","6,224.90",2464.7999999999997
08-Dec-25,-655.6,"2,542.50",1886.9
05-Dec-25,-438.9,"4,189.20",3750.2999999999997
04-Dec-25,"-1,944.20","3,661",1716.8
03-Dec-25,"-3,206.90","4,730.40",1523.4999999999995
02-Dec-25,"-3,642.30","4,645.90",1003.5999999999995
01-Dec-25,"-1,171.30","2,558.90",1387.6000000000001
28-Nov-25,"-3,795.70","4,148.50",352.8000000000002
27-Nov-25,"-1,255.20","3,940.90",2685.7
26-Nov-25,"4,778","6,247.90",11025.9
25-Nov-25,785.3,"3,912.50",4697.8
24-Nov-25,"-4,171.80","4,512.90",341.09999999999945
21-Nov-25,"-1,766","3,161.60",1395.6
20-Nov-25,283.6,824.5,1108.1
19-Nov-25,"1,580.70","1,360.30",2941.0
18-Nov-25,-728.8,"6,156.80",5428.0
17-Nov-25,442.2,"1,465.90",1908.1000000000001
14-Nov-25,"-4,968.20","8,461.50",3493.3
13-Nov-25,-383.7,"3,091.90",2708.2000000000003
12-Nov-25,"-1,750","5,127.10",3377.1000000000004
11-Nov-25,-803.2,"2,188.50",1385.3
10-Nov-25,"-4,114.80","5,805.30",1690.5
07-Nov-25,"4,581.30","6,674.80",11256.1
06-Nov-25,"-3,263.20","5,283.90",2020.6999999999998
04-Nov-25,"-1,067","1,202.90",135.9000000000001
03-Nov-25,"-1,883.80","3,516.40",1632.6000000000001
31-Oct-25,"-6,769.30","7,068.40",299.09999999999945
30-Oct-25,"-3,077.60","2,469.30",-608.2999999999997
29-Oct-25,"-2,540.20","5,692.80",3152.6000000000004
28-Oct-25,"10,339.80","1,081.60",11421.4
27-Oct-25,-55.6,"2,492.10",2436.5
24-Oct-25,621.5,173.1,794.6
23-Oct-25,"-1,165.90","3,893.70",2727.7999999999997
21-Oct-25,96.7,-607,-510.3
20-Oct-25,790.4,"2,485.50",3275.9
17-Oct-25,309,"1,526.60",1835.6
16-Oct-25,997.3,"4,076.20",5073.5
15-Oct-25,68.6,"4,650.10",4718.700000000001
14-Oct-25,"-1,508.50","3,661.10",2152.6
13-Oct-25,-240.1,"2,333.40",2093.3
10-Oct-25,459.2,"1,707.80",2167.0
09-Oct-25,"1,308.20",864.4,2172.6
08-Oct-25,81.3,330,411.3
07-Oct-25,"1,440.70",452.6,1893.3000000000002
06-Oct-25,-313.8,"5,036.40",4722.599999999999
03-Oct-25,"-1,583.40",489.8,-1093.6000000000001
01-Oct-25,"-1,605.20","2,916.10",1310.8999999999999
30-Sep-25,"-2,327.10","5,761.60",3434.5000000000005
29-Sep-25,"-2,831.60","3,845.90",1014.3000000000002
26-Sep-25,"-5,687.60","5,843.20",155.59999999999945
25-Sep-25,"-4,995.40","5,103",107.60000000000036
24-Sep-25,"-2,425.80","1,211.70",-1214.1000000000001
23-Sep-25,"-3,551.20","2,670.90",-880.2999999999997
22-Sep-25,"-2,910.10","2,582.60",-327.5
19-Sep-25,390.7,"2,105.20",2495.8999999999996
18-Sep-25,366.7,"3,326.60",3693.2999999999997
17-Sep-25,"-1,124.50","2,293.50",1169.0
16-Sep-25,308.3,"1,518.70",1827.0
15-Sep-25,"-1,268.60","1,933.30",664.7
12-Sep-25,129.6,"1,556",1685.6
11-Sep-25,"-3,472.40","4,045.50",573.0999999999999
10-Sep-25,-115.7,"5,004.30",4888.6
09-Sep-25,"2,050.50",83.1,2133.6
08-Sep-25,"-2,170.40","3,014.30",843.9000000000001
05-Sep-25,"-1,304.90","1,821.20",516.3
04-Sep-25,-106.3,"2,233.10",2126.7999999999997
03-Sep-25,"-1,666.50","2,495.30",828.8000000000002
